Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
T 9:10 AM-12:30 PM	DAL315	002383	3473854	4091782, 3816203, 4175315
MWF 9:10 AM-10:00 AM	PK278	006500	0031399	3819230, 3928890, 3930674, 4043840, 4092928, 4180447, 4180508, 4193260, 3915243, 4175516, 4277924, 3975519, 3910641, 3994733, 3929776, 4164263, 4086327
MWF 10:10 AM-11:00 AM	DAL25	002384	3473854	4175310, 4175386, 3720506, 3910561
TH 9:55 AM-12:45 PM	PK179	006860	3461209	4093159, 4095001, 4277951, 4278383, 4093959, 3758045, 4093778, 3922542, 4092633, 3975962, 4010147, 3901577, 4092795
T 9:10 AM-12:30 PM	EHI	012735	1168592	3823755, 3814296, 3817087, 3914696
T 9:10 AM-12:30 PM	TAYF	001176	4354080	3959570, 3822218, 3768588, 3930260, 3666995
TH 9:55 AM-12:45 PM	DAL212E	007398	0851717	3483059, 3610681, 3717137, 3722992, 3759127, 3904965, 3818746, 3630474, 3797168, 3816970, 3931323, 3914814, 3930469, 4086371
MWF 11:10 AM-12:00 PM	DAL1	007032	0031573	4095965, 4280078, 4280138, 4096983, 3823278, 3904254, 4175501, 4175282
MWF 9:10 AM-10:00 AM	TAYC	007396	0162977	3483059, 3693185, 3796148, 3796723, 3930547, 4087169, 4096261, 3910343, 4037708, 3691616, 3931959, 3409210, 3910720, 3728679, 3789136, 4372030, 3903986
MWF 11:10 AM-12:00 PM	PK349	004306	3646542	3583596, 3675467, 3816993, 3579645, 3684090, 3821269, 3910595, 3910605
MWF 9:10 AM-10:00 AM	PK259	006847	0031347	3560236, 3712888, 3817487, 3861195, 3914344, 3929222, 3929812, 4095301, 3819393, 3910738, 3796247, 3910617, 3833378, 3817969, 4086222, 3789529, 3816104, 4086241, 4086415, 3995730, 4086377, 4096177, 3910702, 3910704, 4086364
MWF 9:10 AM-10:00 AM	EHI	003454	3092941	3797324, 3816997, 3817981, 3818770, 3929289, 3957394, 4000195, 4003485, 4059195, 4090975, 4095807, 4282999, 4001717, 3914449, 4091718, 4170477, 3911048, 3930721, 3931889, 3969305, 3930190, 4023528, 4091773
T 9:10 AM-12:30 PM	DAL300	004304	3448653	3675467, 3790244, 3816722, 3818024, 3716057, 3768025, 3589576
MWF 9:10 AM-10:00 AM	DAL25	002368	0697660	3861339, 3905822, 3915267, 3937982, 4000795, 4176023, 4176818, 4258417, 4278366, 4278394, 4278528, 4278618, 4281628, 4282115, 4044003, 4175303, 4086315, 4175344, 4175408, 4281934, 4094012, 4175386, 3930485, 4003130, 4372052, 3995827, 4174366, 4243051, 4372200, 4279920, 4372210, 4280946, 4371959, 4371991, 3756293, 3913781, 4076454, 4086474, 4093324, 4095425, 3949783, 4175551, 3910584, 4278991, 3953266, 4281391, 4371037, 4371975, 3910740, 3910495
MWF 11:10 AM-12:00 PM	TAYG	001158	1020104	4140278, 4086315, 3576990, 3929864, 4181143, 4373611, 4276717
TH 9:55 AM-12:45 PM	GOCOM	016894	3926311	3675467, 3768625, 3816722, 3904324, 3579645, 3684090, 3821269, 3902439, 3930253, 4000229, 3910605
MWF 11:10 AM-12:00 PM	CARP17	001837	3452118	3539996, 3576379
T 9:10 AM-12:30 PM	CAN205	008470	0695890	4093748, 3894333, 4086337
MWF 9:10 AM-10:00 AM	PK100	007381	0031611	4093255, 3821016, 3774116, 3973119, 3715444, 3799474, 4086313, 3930469, 3910553, 3821766, 4003415, 4373612, 3930864
T 9:10 AM-12:30 PM	TH110	016885	3479968	4000366, 3930763
TH 9:55 AM-12:45 PM	CARP17	016886	0058557	4090841, 4093315, 4150362, 3929237, 4091767, 4175440, 3844962, 4175348, 4093136, 3821589
TH 9:55 AM-12:45 PM	PK259	015678	3478658	4092004, 4280365, 4280658, 4280864, 4281934, 4093026, 4280849, 4017901, 4095086
MWF 9:10 AM-10:00 AM	TAYD	006851	1167884	4176079, 4276023, 4280525, 4280907, 4280721, 3910741
